a,80,302
b,480,372
c,320,372
d,240,302
e,200,232
f,320,302
g,400,302
h,480,302
i,580,232
j,560,302
k,640,302
l,720,302
m,640,372
n,560,372
o,660,232
p,740,232
q,40,232
r,280,232
s,160,302
t,360,232
u,500,232
v,400,372
w,120,232
x,240,372
y,420,232
z,160,372
<space>,400,440
