1282733945823,60.0,396,297
1282733946805,129.0,285,697
1282733947517,60.0,211,100
1282733949131,129.0,127,382
1282733949826,60.0,430,681
1282733951328,99.0,364,664
1282733951957,60.0,154,166
1282733953378,99.0,264,367
1282733953941,129.0,391,304
1282733954503,60.0,255,384
1282733955131,60.0,405,541
1282733955710,99.0,111,516
1282733956262,30.0,331,229
1282733956881,129.0,270,598
1282733957445,60.0,394,558
1282733958028,99.0,52,360
1282733958643,99.0,84,148
1282733959249,99.0,348,673
1282733959840,99.0,291,177
1282733960417,129.0,397,385
1282733960978,30.0,307,220
1282733961604,60.0,105,201
1282733963161,30.0,370,454
1282733966426,99.0,357,175
1282733967159,99.0,429,357
1282733968242,129.0,84,585
1282733969518,99.0,187,226
1282733970086,129.0,211,442
1282733970679,129.0,400,684
1282733971286,99.0,378,213
1282733971879,30.0,151,193
1282733972962,30.0,28,633
1282733974393,60.0,418,597
1282733974911,60.0,255,726
1282733976061,129.0,75,450
1282733976567,60.0,30,693
1282733978392,129.0,339,130
1282733979404,60.0,231,309
1282733980222,99.0,211,84
1282733980800,30.0,352,441
1282733983579,99.0,370,304
1282733984087,30.0,247,387
1282733984648,30.0,60,372
1282733985542,99.0,133,723
1282733986577,129.0,180,712
1282733987148,60.0,430,438
1282733987851,129.0,207,151
1282733988392,30.0,21,60
1282733990163,30.0,114,478
1282733990950,30.0,277,387
1282733991793,129.0,210,519
1282733992897,99.0,70,195
1282733993470,129.0,330,348
1282733994642,30.0,133,739
1282733995905,30.0,414,573
1282733997572,60.0,405,274
1282733998527,60.0,265,228
1282733999055,99.0,286,334
1282733999521,60.0,226,562
1282734000068,30.0,348,39
1282734001170,60.0,135,165
1282734002400,30.0,387,255
1282734007324,60.0,432,399
1282734007916,129.0,195,517
1282734008487,129.0,127,705
1282734009146,99.0,61,439
1282734009715,99.0,112,730
1282734010403,60.0,40,591
1282734011498,30.0,193,265
1282734015129,129.0,135,711
1282734015762,30.0,373,546
1282734017238,99.0,346,247
1282734017931,129.0,409,151
1282734019124,30.0,415,225
1282734021289,30.0,82,31
1282734025959,60.0,228,393
1282734027034,129.0,205,603
1282734027661,99.0,375,657
1282734028260,30.0,16,579
1282734030137,129.0,82,157
Finished: 1282734030714
