1282917263679,99.0,96,381
1282917264350,60.0,445,397
1282917265285,99.0,169,669
1282917266024,129.0,150,150
1282917266676,30.0,171,99
1282917267492,99.0,288,541
1282917268192,60.0,373,93
1282917269708,129.0,165,151
1282917270332,30.0,381,393
1282917271104,129.0,369,193
1282917271764,99.0,400,478
1282917272498,30.0,30,751
1282917273800,30.0,271,292
1282917275699,129.0,240,172
1282917276393,99.0,201,256
1282917277081,99.0,222,453
1282917277618,99.0,252,267
1282917278197,99.0,277,145
1282917278725,30.0,90,81
1282917280248,129.0,264,96
1282917280809,99.0,192,469
1282917281419,129.0,108,688
1282917281974,60.0,355,726
1282917282864,129.0,127,477
1282917283453,30.0,166,198
1282917284925,129.0,360,594
1282917285717,99.0,100,370
1282917286294,129.0,226,145
1282917286838,60.0,259,625
1282917287485,129.0,327,516
1282917288101,30.0,130,219
1282917289177,30.0,57,729
1282917290562,99.0,195,232
1282917291238,30.0,216,745
1282917292137,99.0,271,459
1282917292827,60.0,43,342
1282917293471,30.0,351,210
1282917295379,129.0,132,705
1282917296080,60.0,201,634
1282917297209,99.0,70,324
1282917297897,99.0,151,339
1282917298481,30.0,186,223
1282917299186,60.0,204,498
1282917299852,60.0,208,751
1282917300550,60.0,307,654
1282917301193,60.0,250,519
1282917301771,99.0,282,382
1282917302382,60.0,270,592
1282917303100,129.0,363,589
1282917303653,30.0,391,501
1282917304738,129.0,345,627
1282917305643,129.0,249,544
1282917306238,60.0,109,340
1282917306976,129.0,139,673
1282917307580,30.0,129,334
1282917309053,129.0,235,117
1282917309790,30.0,324,274
1282917310742,60.0,40,642
1282917311618,30.0,372,250
1282917313145,129.0,264,556
1282917313905,129.0,178,597
1282917314490,99.0,342,103
1282917315228,60.0,118,142
1282917315995,129.0,70,343
1282917316559,30.0,123,654
1282917317346,129.0,301,609
1282917317994,60.0,235,643
1282917318767,99.0,90,409
1282917319456,30.0,31,541
1282917320722,60.0,109,513
1282917321343,60.0,36,76
1282917322210,60.0,40,340
1282917322985,30.0,370,159
1282917323880,30.0,105,81
1282917324696,99.0,357,139
1282917325311,60.0,210,601
1282917326044,99.0,216,745
1282917326667,99.0,352,151
1282917327378,30.0,369,385
1282917328136,60.0,34,477
Finished: 1282917328885
