a,48,592
b,288,674
c,192,674
d,144,592
e,120,512
f,192,592
g,240,592
h,288,592
i,360,512
j,336,592
k,384,592
l,432,592
m,384,674
n,336,674
o,408,512
p,456,512
q,24,512
r,168,512
s,96,592
t,216,512
u,312,512
v,240,674
w,72,512
x,144,674
y,264,512
z,96,674
<space>,240,777
